t,r,y,u,e
20.55,1.0,0.49690006035065465,0.9995201168890033,0.5030999396493454
20.6,1.0,0.49773775944706444,0.9995195181965353,0.5022622405529356
20.650000000000002,1.0,0.4985740613860433,0.9995189228343804,0.5014259386139567
20.700000000000003,1.0,0.49940896850172173,0.9995183307930914,0.5005910314982782
20.75,1.0,0.5002424831243243,0.9995177420632434,0.4997575168756757
20.8,1.0,0.5010746075801762,0.9995171566354337,0.4989253924198238
20.85,1.0,0.5019053441917097,0.9995165745002814,0.49809465580829027
20.900000000000002,1.0,0.5027346952774709,0.9995159956484284,0.49726530472252906
20.950000000000003,1.0,0.503562663152126,0.9995154200705381,0.49643733684787394
21.0,1.0,0.504389250126468,0.999514847757296,0.49561074987353204
21.05,1.0,0.5052144585074229,0.99951427869941,0.49478554149257714
21.1,1.0,0.5060382905980565,0.9995137128876094,0.4939617094019435
21.150000000000002,1.0,0.5068607486975808,0.9995131503126456,0.4931392513024192
21.200000000000003,1.0,0.5076818351013603,0.999512590965292,0.49231816489863967
21.25,1.0,0.5085015521009186,0.9995120348363435,0.49149844789908137
21.3,1.0,0.5093199019839448,0.9995114819166171,0.49068009801605517
21.35,1.0,0.5101368870342998,0.999510932196951,0.4898631129657002
21.400000000000002,1.0,0.510952509532023,0.9995103856682055,0.489047490467977
21.450000000000003,1.0,0.5117667717533384,0.9995098423212623,0.4882332282466616
21.5,1.0,0.5125796759706612,0.9995093021470246,0.48742032402933877
21.55,1.0,0.5133912244526042,0.9995087651364173,0.4866087755473958
21.6,1.0,0.5142014194639839,0.9995082312803867,0.4857985805360161
21.650000000000002,1.0,0.5150102632658271,0.9995077005699003,0.4849897367341729
21.700000000000003,1.0,0.5158177581153773,0.9995071729959474,0.48418224188462267
21.75,1.0,0.5166239062661009,0.9995066485495382,0.4833760937338991
21.8,1.0,0.5174287099676935,0.9995061272217045,0.4825712900323065
21.85,1.0,0.5182321714660866,0.999505609003499,0.4817678285339134
21.900000000000002,1.0,0.519034293003453,0.9995050938859958,0.48096570699654695
21.950000000000003,1.0,0.5198350768182144,0.9995045818602902,0.4801649231817856
22.0,1.0,0.5206345251450465,0.9995040729174985,0.4793654748549535
22.05,1.0,0.521432640214886,0.999503567048758,0.478567359785114
22.1,1.0,0.5222294242549366,0.999503064245227,0.47777057574506343
